config_id,id_start,recommendations_v2,recommendation_text,config_name,scoring_method,schema_tracked_metrics,units (from schema_tracked_metrics),ui_display (from units) (from schema_tracked_metrics),schema_calculated_metrics,unit_identifier (from schema_calculated_metrics),ui_display (from unit_identifier) (from schema_calculated_metrics),schema_comparison_operator,schema_required_days,schema_total_days,schema_unit,schema_variance_threshold,schema_weekday_baseline_days,schema_weekend_day_weight,schema_weekend_days,last_modified
REC0039.2-WEEKEND-VARIANCE,WEEKEND-VARIANCE,REC0039.2,Keep weekend bedtime within 90 minutes of your weekday time,Weekend Variance - sleep_time,weekend_variance,sleep_time,minutes_since_midnight,Time of Day,period_sleep_time_consistency_std_dev,minutes,Minutes,<=,7,7,minutes,90.0,5,50.0,2,9/26/2025 2:42pm
REC0040.2-WEEKEND-VARIANCE,WEEKEND-VARIANCE,REC0040.2,Keep weekend wake-up within 90 minutes of your average weekday wake-up time,Weekend Variance - wake_time,weekend_variance,wake_time,minutes_since_midnight,Time of Day,period_wake_time_consistency_std_dev,minutes,Minutes,<=,7,7,minutes,90.0,5,50.0,2,9/26/2025 2:42pm
